20190625-145811,OK,13.00,13.00,33.0,26.0
20190625-150140,OK,13.00,13.00,33.0,26.0
20190625-150510,OK,12.00,13.00,32.0,27.0
20190625-151001,OK,13.00,13.00,33.0,26.0
20190625-152003,
20190625-152501,OK,13.00,13.00,31.0,29.0
20190625-153002,OK,13.00,13.00,31.0,30.0
20190625-153502,OK,13.00,13.00,31.0,30.0
20190625-154001,OK,13.00,13.00,31.0,30.0
20190625-154502,OK,13.00,13.00,31.0,30.0
20190625-155002,OK,13.00,13.00,31.0,30.0
20190625-155501,OK,13.00,13.00,30.0,31.0
20190625-160001,OK,13.00,13.00,30.0,31.0
20190625-160502,OK,13.00,13.00,30.0,31.0
20190625-161001,OK,13.00,13.00,30.0,31.0
20190625-161501,OK,13.00,13.00,30.0,32.0
20190625-162001,OK,13.00,13.00,30.0,32.0
20190625-162501,OK,13.00,13.00,30.0,32.0
20190625-163002,OK,13.00,13.00,30.0,32.0
20190625-163501,OK,13.00,13.00,30.0,32.0
20190625-164002,OK,13.00,13.00,30.0,32.0
20190625-164501,OK,13.00,13.00,30.0,32.0
20190625-165001,OK,13.00,13.00,30.0,31.0
20190625-165502,OK,13.00,13.00,30.0,31.0
20190625-170001,OK,13.00,13.00,30.0,31.0
20190625-170501,OK,13.00,13.00,31.0,30.0
20190625-171001,OK,13.00,13.00,31.0,30.0
20190625-171502,OK,13.00,13.00,31.0,30.0
20190625-172001,OK,13.00,13.00,31.0,30.0
20190625-172501,OK,13.00,13.00,30.0,31.0
20190625-173002,OK,13.00,13.00,30.0,31.0
20190625-173502,OK,13.00,13.00,30.0,31.0
20190625-174001,OK,13.00,13.00,31.0,30.0
20190625-174501,OK,13.00,13.00,31.0,30.0
20190625-175002,OK,13.00,13.00,31.0,30.0
20190625-175501,OK,13.00,13.00,31.0,30.0
20190625-180002,OK,13.00,13.00,31.0,30.0
20190625-180501,OK,13.00,13.00,31.0,30.0
20190625-181002,OK,13.00,13.00,31.0,30.0
20190625-181501,OK,13.00,13.00,31.0,30.0
20190625-182002,OK,13.00,13.00,31.0,30.0
20190625-182501,OK,13.00,13.00,31.0,30.0
20190625-183002,OK,13.00,13.00,31.0,30.0
20190625-183036,OK,13.00,13.00,31.0,30.0
20190625-183501,OK,13.00,13.00,31.0,30.0
20190625-184001,OK,13.00,13.00,31.0,30.0
20190625-184501,OK,13.00,13.00,31.0,30.0
20190625-185001,OK,13.00,13.00,31.0,30.0
20190625-185501,OK,13.00,13.00,31.0,30.0
20190625-190001,OK,13.00,13.00,31.0,30.0
20190625-190502,OK,13.00,13.00,31.0,30.0
20190625-191001,OK,13.00,13.00,31.0,30.0
20190625-191501,OK,13.00,13.00,31.0,30.0
20190625-192002,OK,13.00,13.00,31.0,30.0
20190625-192501,OK,13.00,13.00,31.0,30.0
20190625-193001,OK,13.00,13.00,31.0,30.0
20190625-193502,OK,13.00,13.00,31.0,30.0
20190625-194001,OK,13.00,13.00,31.0,30.0
20190625-194502,OK,13.00,13.00,31.0,30.0
20190625-195001,OK,13.00,13.00,31.0,30.0
20190625-195502,OK,13.00,13.00,31.0,30.0
20190625-200001,OK,13.00,13.00,31.0,30.0
20190625-200501,OK,13.00,13.00,31.0,30.0
20190625-201001,OK,13.00,13.00,31.0,30.0
20190625-201502,OK,13.00,13.00,31.0,30.0
20190625-202001,OK,13.00,13.00,31.0,30.0
20190625-202502,OK,13.00,13.00,31.0,30.0
20190625-203001,OK,13.00,13.00,31.0,30.0
20190625-203502,OK,13.00,13.00,31.0,30.0
20190625-204001,OK,13.00,13.00,31.0,30.0
20190625-204501,OK,13.00,13.00,31.0,30.0
20190625-205002,OK,13.00,13.00,31.0,30.0
20190625-205501,OK,13.00,13.00,31.0,30.0
20190625-210002,OK,13.00,13.00,31.0,30.0
20190625-210501,OK,13.00,13.00,31.0,30.0
20190625-211001,OK,13.00,13.00,31.0,30.0
20190625-211502,OK,13.00,13.00,31.0,30.0
20190625-212001,OK,13.00,13.00,31.0,30.0
20190625-212502,OK,13.00,13.00,31.0,30.0
20190625-213001,OK,13.00,13.00,31.0,30.0
20190625-213501,OK,13.00,13.00,31.0,30.0
20190625-214002,OK,13.00,13.00,31.0,30.0
20190625-214501,OK,13.00,13.00,31.0,30.0
20190625-215002,OK,13.00,13.00,31.0,30.0
20190625-215501,OK,13.00,13.00,31.0,30.0
20190625-220001,OK,13.00,13.00,31.0,30.0
20190625-220502,OK,13.00,13.00,31.0,30.0
20190625-221001,OK,13.00,13.00,31.0,30.0
20190625-221501,OK,13.00,13.00,31.0,30.0
20190625-222001,OK,13.00,13.00,31.0,30.0
20190625-222501,OK,13.00,13.00,31.0,30.0
20190625-223002,OK,13.00,13.00,31.0,30.0
20190625-223501,OK,13.00,13.00,31.0,30.0
20190625-224002,OK,13.00,13.00,31.0,30.0
20190625-224501,OK,13.00,13.00,31.0,30.0
20190625-225001,OK,13.00,13.00,31.0,30.0
20190625-225502,OK,13.00,13.00,31.0,30.0
20190625-230001,OK,13.00,13.00,31.0,30.0
20190625-230501,OK,13.00,13.00,31.0,30.0
20190625-231002,OK,13.00,13.00,31.0,30.0
20190625-231501,OK,13.00,13.00,31.0,30.0
20190625-232002,OK,13.00,13.00,31.0,30.0
20190625-232501,OK,13.00,13.00,31.0,30.0
20190625-233002,OK,13.00,13.00,31.0,30.0
20190625-233501,OK,13.00,13.00,31.0,30.0
20190625-234001,OK,13.00,13.00,31.0,30.0
20190625-234502,OK,13.00,13.00,31.0,30.0
20190625-235001,OK,13.00,13.00,31.0,30.0
20190625-235502,OK,13.00,13.00,31.0,30.0
